DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2016-10-10	26691988	Fritsche LG	2015-12-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26691988	A large genome-wide association study of age-related macular degeneration highlights contributions of rare and common variants.	Advanced age-related macular degeneration	16,144 European ancestry cases, 17,832 European ancestry controls	473 Asian ancestry cases, 1,099 Asian ancestry controls, 52 African ancestry cases, 361 African ancestry cases, 254 other non-European ancestry cases, 694 other non-European ancestry controls	1q31.3	1	196735502	CFH	CFH			3075			rs10922109-?	rs10922109	0	10922109	intron_variant	0	NR	1E-617	617.0	(EA)	2.631579		Illumina [12023830] (imputed)	N	atrophic macular degeneration, age-related macular degeneration, wet macular degeneration	http://www.ebi.ac.uk/efo/EFO_1001492, http://www.ebi.ac.uk/efo/EFO_0001365, http://www.ebi.ac.uk/efo/EFO_0004683	GCST003219	Genome-wide genotyping array
2016-10-10	26691988	Fritsche LG	2015-12-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26691988	A large genome-wide association study of age-related macular degeneration highlights contributions of rare and common variants.	Advanced age-related macular degeneration	16,144 European ancestry cases, 17,832 European ancestry controls	473 Asian ancestry cases, 1,099 Asian ancestry controls, 52 African ancestry cases, 361 African ancestry cases, 254 other non-European ancestry cases, 694 other non-European ancestry controls	1q31.3	1	196687934	CFH	CFH			3075			rs570618-?	rs570618	0	570618	intron_variant	0	NR	2E-590	589.698970004336	(EA)	2.38		Illumina [12023830] (imputed)	N	atrophic macular degeneration, age-related macular degeneration, wet macular degeneration	http://www.ebi.ac.uk/efo/EFO_1001492, http://www.ebi.ac.uk/efo/EFO_0001365, http://www.ebi.ac.uk/efo/EFO_0004683	GCST003219	Genome-wide genotyping array
2016-10-10	26691988	Fritsche LG	2015-12-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26691988	A large genome-wide association study of age-related macular degeneration highlights contributions of rare and common variants.	Advanced age-related macular degeneration	16,144 European ancestry cases, 17,832 European ancestry controls	473 Asian ancestry cases, 1,099 Asian ancestry controls, 52 African ancestry cases, 361 African ancestry cases, 254 other non-European ancestry cases, 694 other non-European ancestry controls	1q31.3	1	196747245	CFH	CFH			3075			rs121913059-?	rs121913059	0	121913059	missense_variant	0	NR	9E-24	23.045757490560675	(EA)	20.28		Illumina [12023830] (imputed)	N	atrophic macular degeneration, age-related macular degeneration, wet macular degeneration	http://www.ebi.ac.uk/efo/EFO_1001492, http://www.ebi.ac.uk/efo/EFO_0001365, http://www.ebi.ac.uk/efo/EFO_0004683	GCST003219	Genome-wide genotyping array
2016-10-10	26691988	Fritsche LG	2015-12-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26691988	A large genome-wide association study of age-related macular degeneration highlights contributions of rare and common variants.	Advanced age-related macular degeneration	16,144 European ancestry cases, 17,832 European ancestry controls	473 Asian ancestry cases, 1,099 Asian ancestry controls, 52 African ancestry cases, 361 African ancestry cases, 254 other non-European ancestry cases, 694 other non-European ancestry controls	1q31.3	1	196644043	CFH	KCNT2 - CFH	343450	3075		35138	7835	rs148553336-?	rs148553336	0	148553336	intergenic_variant	1	NR	9E-26	25.045757490560675	(EA)	3.448276		Illumina [12023830] (imputed)	N	atrophic macular degeneration, age-related macular degeneration, wet macular degeneration	http://www.ebi.ac.uk/efo/EFO_1001492, http://www.ebi.ac.uk/efo/EFO_0001365, http://www.ebi.ac.uk/efo/EFO_0004683	GCST003219	Genome-wide genotyping array
2016-10-10	26691988	Fritsche LG	2015-12-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26691988	A large genome-wide association study of age-related macular degeneration highlights contributions of rare and common variants.	Advanced age-related macular degeneration	16,144 European ancestry cases, 17,832 European ancestry controls	473 Asian ancestry cases, 1,099 Asian ancestry controls, 52 African ancestry cases, 361 African ancestry cases, 254 other non-European ancestry cases, 694 other non-European ancestry controls	1q31.3	1	196411028	CFH	KCNT2			343450			rs187328863-?	rs187328863	0	187328863	intron_variant	0	NR	1E-68	68.0	(EA)	2.27		Illumina [12023830] (imputed)	N	atrophic macular degeneration, age-related macular degeneration, wet macular degeneration	http://www.ebi.ac.uk/efo/EFO_1001492, http://www.ebi.ac.uk/efo/EFO_0001365, http://www.ebi.ac.uk/efo/EFO_0004683	GCST003219	Genome-wide genotyping array
2016-10-10	26691988	Fritsche LG	2015-12-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26691988	A large genome-wide association study of age-related macular degeneration highlights contributions of rare and common variants.	Advanced age-related macular degeneration	16,144 European ancestry cases, 17,832 European ancestry controls	473 Asian ancestry cases, 1,099 Asian ancestry controls, 52 African ancestry cases, 361 African ancestry cases, 254 other non-European ancestry cases, 694 other non-European ancestry controls	1q31.3	1	196846320	CFH, CFHR3, CFHR1	CFHR1 - LOC100996886	3078	100996886		14131	3885	rs61818925-?	rs61818925	0	61818925	intron_variant	1	NR	6E-165	164.22184874961636	(EA)	1.6666665		Illumina [12023830] (imputed)	N	atrophic macular degeneration, age-related macular degeneration, wet macular degeneration	http://www.ebi.ac.uk/efo/EFO_1001492, http://www.ebi.ac.uk/efo/EFO_0001365, http://www.ebi.ac.uk/efo/EFO_0004683	GCST003219	Genome-wide genotyping array
2016-10-10	26691988	Fritsche LG	2015-12-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26691988	A large genome-wide association study of age-related macular degeneration highlights contributions of rare and common variants.	Advanced age-related macular degeneration	16,144 European ancestry cases, 17,832 European ancestry controls	473 Asian ancestry cases, 1,099 Asian ancestry controls, 52 African ancestry cases, 361 African ancestry cases, 254 other non-European ancestry cases, 694 other non-European ancestry controls	1q31.3	1	196737512	CFH	CFH			3075			rs35292876-?	rs35292876	0	35292876	synonymous_variant	0	NR	8E-37	36.096910013008056	(EA)	2.42		Illumina [12023830] (imputed)	N	atrophic macular degeneration, age-related macular degeneration, wet macular degeneration	http://www.ebi.ac.uk/efo/EFO_1001492, http://www.ebi.ac.uk/efo/EFO_0001365, http://www.ebi.ac.uk/efo/EFO_0004683	GCST003219	Genome-wide genotyping array
2016-10-10	26691988	Fritsche LG	2015-12-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26691988	A large genome-wide association study of age-related macular degeneration highlights contributions of rare and common variants.	Advanced age-related macular degeneration	16,144 European ancestry cases, 17,832 European ancestry controls	473 Asian ancestry cases, 1,099 Asian ancestry controls, 52 African ancestry cases, 361 African ancestry cases, 254 other non-European ancestry cases, 694 other non-European ancestry controls	1q31.3	1	196989521	CFH	CFHR5			81494			rs191281603-?	rs191281603	0	191281603	intron_variant	0	NR	8E-7	6.096910013008056	(EA, conditioned)	2.44		Illumina [12023830] (imputed)	N	atrophic macular degeneration, age-related macular degeneration, wet macular degeneration	http://www.ebi.ac.uk/efo/EFO_1001492, http://www.ebi.ac.uk/efo/EFO_0001365, http://www.ebi.ac.uk/efo/EFO_0004683	GCST003219	Genome-wide genotyping array
2016-10-10	26691988	Fritsche LG	2015-12-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26691988	A large genome-wide association study of age-related macular degeneration highlights contributions of rare and common variants.	Advanced age-related macular degeneration	16,144 European ancestry cases, 17,832 European ancestry controls	473 Asian ancestry cases, 1,099 Asian ancestry controls, 52 African ancestry cases, 361 African ancestry cases, 254 other non-European ancestry cases, 694 other non-European ancestry controls	2q36.3	2	227222204	COL4A3	COL4A3, LOC654841			1285, 654841			rs11884770-?	rs11884770	0	11884770	intron_variant	0	NR	3E-8	7.522878745280337	(EA)	1.1111112		Illumina [12023830] (imputed)	N	atrophic macular degeneration, age-related macular degeneration, wet macular degeneration	http://www.ebi.ac.uk/efo/EFO_1001492, http://www.ebi.ac.uk/efo/EFO_0001365, http://www.ebi.ac.uk/efo/EFO_0004683	GCST003219	Genome-wide genotyping array
2016-10-10	26691988	Fritsche LG	2015-12-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26691988	A large genome-wide association study of age-related macular degeneration highlights contributions of rare and common variants.	Advanced age-related macular degeneration	16,144 European ancestry cases, 17,832 European ancestry controls	473 Asian ancestry cases, 1,099 Asian ancestry controls, 52 African ancestry cases, 361 African ancestry cases, 254 other non-European ancestry cases, 694 other non-European ancestry controls	3p14.1	3	64729479	ADAMTS9-AS2, MIR548A2	ADAMTS9-AS2			100507098			rs62247658-?	rs62247658	0	62247658	intron_variant	0	NR	2E-14	13.698970004336019	(EA)	1.14		Illumina [12023830] (imputed)	N	atrophic macular degeneration, age-related macular degeneration, wet macular degeneration	http://www.ebi.ac.uk/efo/EFO_1001492, http://www.ebi.ac.uk/efo/EFO_0001365, http://www.ebi.ac.uk/efo/EFO_0004683	GCST003219	Genome-wide genotyping array
